1	[-6.455633009435331, -1.4556330094353314, -67.26899587552235, -62.26899587552235, -83.9706802368164, -78.9706802368164]											
2	[]											
3	[26.935416670497368, 31.935416670497368, 4.241021654256812, 9.241021654256812, 71.2594223022461, 76.2594223022461]											
4	[35.47751827256852, 40.47751827256852, -6.427253944889948, -1.427253944889948, 75.45476531982422, 80.45476531982422]											
5	[9.983815794079064, 14.983815794079064, -18.346279811294124, -13.346279811294124, -105.93082427978521, -100.93082427978521]											
6	[-7.536627809488039, -2.5366278094880386, -28.172052022644486, -23.172052022644486, 100.54462432861328, 105.54462432861328]											
7	[16.780460867814497, 21.780460867814497, -73.92034569034891, -68.92034569034891, -95.33692932128906, -90.33692932128906]											
8	[6.843578535277345, 11.843578535277345, -70.26840418304043, -65.26840418304043, -77.48844909667969, -72.48844909667969]											
9	[]											
10	[13.743649453913093, 18.743649453913093, -81.99871210096045, -76.99871210096045, 67.43509674072266, 72.43509674072266]											
11	[16.319687378268156, 21.319687378268156, -37.57448863074957, -32.57448863074957, -87.754035949707, -82.754035949707]											
12	[16.319687378268156, 21.319687378268156, -37.57448863074957, -32.57448863074957, -87.754035949707, -82.754035949707]											
13	[26.335329002228576, 31.335329002228576, -51.63761319109531, -46.63761319109531, 80.8605728149414, 85.8605728149414]											
14	[33.84977922180258, 38.84977922180258, -64.94634331093117, -59.94634331093117, -105.47314453125001, -100.47314453125001]											
15	[35.14227170826453, 40.14227170826453, -80.58596520595871, -75.58596520595871, -108.62437438964844, -103.62437438964844]											
16	[]											
17	[]											
18	[4.075466065295728, 9.075466065295728, -14.118491706361425, -9.118491706361425, -87.04303741455078, -82.04303741455078]											
19	[23.92102629139832, 28.92102629139832, -40.98040801941801, -35.98040801941801, 85.36237335205078, 90.36237335205078]											
20	[28.58391003868043, 33.58391003868043, -14.77204405664284, -9.77204405664284, -87.47560882568357, -82.47560882568357]											
21	[-3.939365337051342, 1.060634662948658, -72.60471099934905, -67.60471099934905, -74.18859863281253, -69.18859863281253]											
22	[39.542719924649376, 44.542719924649376, -18.998203583856565, -13.998203583856565, -1.6000083684921265, 3.3999916315078735]											
23	[49.86053779632351, 54.86053779632351, -42.15238737916807, -37.15238737916807, 19.734981536865234, 24.734981536865234]											
24	[45.24048827892655, 50.24048827892655, -25.70009218119175, -20.70009218119175, 23.6254940032959, 28.6254940032959]											
25	[]											
26	[]											
27	[]											
28	[]											
29	[9.750926637587984, 14.750926637587984, 25.729195052827492, 30.729195052827492, -73.72300720214844, -68.72300720214844]											
30	[25.651046831759828, 30.651046831759828, -13.29872334497388, -8.29872334497388, -80.27580261230466, -75.27580261230466]											
31	[10.778186356907185, 15.778186356907185, -29.15657449201798, -24.15657449201798, 64.30897521972656, 69.30897521972656]											
32	[-1.0287867569471132, 3.971213243052887, -49.40225671734933, -44.40225671734933, -81.57637786865232, -76.57637786865232]											
33	[-1.0287867569471132, 3.971213243052887, -49.40225671734933, -44.40225671734933, -81.57637786865232, -76.57637786865232]											
34	[0.9467179575076585, 5.9467179575076585, -40.609013395223926, -35.609013395223926, 76.97572326660156, 81.97572326660156]											
35	[11.630412814955946, 16.630412814955946, -59.95371535110566, -54.95371535110566, 66.45182800292969, 71.45182800292969]											
36	[14.559260744622406, 19.559260744622406, -61.33598956415054, -56.33598956415054, 75.69804382324216, 80.69804382324216]											
37	[11.41146535071411, 16.41146535071411, -16.315491661743522, -11.315491661743522, 57.73700714111328, 62.73700714111328]											
38	[6.23530744415271, 11.23530744415271, -65.84952995919957, -60.84952995919957, 58.54475402832031, 63.54475402832031]											
39	[1.1823242297761851, 6.182324229776185, -71.12041817730726, -66.12041817730726, 72.93138885498047, 77.93138885498047]											
40	[-2.0357327511219125, 2.9642672488780875, -53.28384447123992, -48.28384447123992, 67.55341339111331, 72.55341339111331]											
41	[1.1377830883457989, 6.137783088345799, -71.39032739533965, -66.39032739533965, 72.75601959228516, 77.75601959228516]											
42	[20.45873080856002, 25.45873080856002, -12.216133154130128, -7.216133154130128, 62.280632019043, 67.280632019043]											
43	[9.12047321680484, 14.12047321680484, -30.117761604175428, -25.117761604175428, 80.06619262695312, 85.06619262695312]											
44	[8.190856880603747, 13.190856880603747, -40.78882110183254, -35.78882110183254, 78.74004364013672, 83.74004364013672]											
45	[49.99560603821658, 54.99560603821658, -24.978236598079647, -19.978236598079647, 138.8045349121094, 143.8045349121094]											
46	[1.5983059401432342, 6.598305940143234, -2.8571831430112002, 2.1428168569887998, -77.98372650146484, -72.98372650146484]											
47	[4.300626035375899, 9.300626035375899, -13.0106729715762, -8.0106729715762, -94.92788696289062, -89.92788696289062]											
48	[15.643765974727131, 20.64376597472713, -55.51468421509374, -50.51468421509374, 70.295654296875, 75.295654296875]											
49	[11.144689511109078, 16.14468951110908, -58.84259714457041, -53.84259714457041, -70.58866119384766, -65.58866119384766]											
50	[26.382636726577942, 31.382636726577942, -54.648245217686195, -49.648245217686195, -75.9637222290039, -70.9637222290039]											
51	[23.700201082884462, 28.700201082884462, -44.50846022818014, -39.50846022818014, -70.29497528076172, -65.29497528076172]											
52	[27.009075166669874, 32.009075166669874, -64.86607615367741, -59.86607615367741, 71.45781780917295, 76.45781780917295]											
53	[2.691996567159279, 7.691996567159279, -47.31034006346462, -42.31034006346462, -68.70422363281247, -63.70422363281247]											
54	[3.3168775653314526, 8.316877565331453, -48.62341538612789, -43.62341538612789, -67.01411437988281, -62.01411437988281]											
55	[17.891600147868317, 22.891600147868317, -72.66790784317543, -67.66790784317543, 69.01275634765625, 74.01275634765625]											
56	[4.925974173364239, 9.925974173364239, -68.35637210103066, -63.35637210103066, -79.05322265625, -74.05322265625]											
57	[13.529654129479866, 18.529654129479866, -81.97477075272494, -76.97477075272494, -90.32844543457031, -85.32844543457031]											
58	[9.207531999636299, 14.207531999636299, -76.21566746306644, -71.21566746306644, -85.16754913330078, -80.16754913330078]											
59	[5.274413851107909, 10.274413851107909, -68.33315109779537, -63.333151097795366, -83.5411376953125, -78.5411376953125]											
60	[21.173693208193157, 26.173693208193157, -56.579816586699266, -51.579816586699266, 74.14889526367188, 79.14889526367188]											
61	[18.675872569647254, 23.675872569647254, -71.73455942127899, -66.73455942127899, 70.41654205322266, 75.41654205322266]											
62	[0.08547317400083898, 5.085473174000839, -44.979625654646966, -39.979625654646966, 86.15802001953125, 91.15802001953125]											
63	[9.619251278951921, 14.619251278951921, -52.8633489830401, -47.8633489830401, 94.69383239746094, 99.69383239746094]											
64	[51.75679410274361, 56.75679410274361, -86.53313627004219, -81.53313627004219, -99.03009033203125, -94.03009033203125]											
65	[5.577543743956852, 10.577543743956852, -86.87328842913773, -81.87328842913773, -88.13057708740229, -83.13057708740229]											
66	[-5.328753983125722, -0.328753983125722, -64.67579867186434, -59.67579867186434, -88.04733276367188, -83.04733276367188]											
67	[30.06330468775832, 35.06330468775832, -86.61815743012778, -81.61815743012778, 96.7545394897461, 101.7545394897461]											
68	[30.06330468775832, 35.06330468775832, -86.61815743012778, -81.61815743012778, 96.7545394897461, 101.7545394897461]											
69	[30.06330468775832, 35.06330468775832, -86.61815743012778, -81.61815743012778, 96.7545394897461, 101.7545394897461]											
70	[]											
71	[16.488497843893185, 21.488497843893185, 21.394529589303815, 26.394529589303815, 63.10057830810547, 68.10057830810547]											
72	[1.937058756958777, 6.937058756958777, -55.416112377611896, -50.416112377611896, 74.1388931274414, 79.1388931274414]											
73	[18.546449981219496, 23.546449981219496, -40.26926508751554, -35.26926508751554, 83.33131408691406, 88.33131408691406]											
74	[19.149018308121853, 24.149018308121853, -26.5335362452645, -21.5335362452645, 82.4321517944336, 87.4321517944336]											
75	NA											
76	[6.928521292362575, 11.928521292362575, -39.92097678097113, -34.92097678097113, -67.08782958984375, -62.08782958984375]											
77	NA											
78	NA											
79	[15.072059751731032, 20.072059751731032, -35.676997900882796, -30.676997900882796, 90.92565917968753, 95.92565917968753]											
80	[9.127272990340217, 14.127272990340217, -36.66755332161609, -31.66755332161609, 81.10852813720703, 86.10852813720703]											
81	[17.858704342659564, 22.858704342659564, -18.783791477399816, -13.783791477399816, -105.04037475585938, -100.04037475585938]											
82	[-1.1610600254966812, 3.838939974503319, -36.32695196859148, -31.32695196859148, -65.62438201904297, -60.62438201904297]											
83	[11.10309919017422, 16.10309919017422, -43.73347141174593, -38.73347141174593, 92.7138748168945, 97.7138748168945]											
84	[22.86197395779037, 27.86197395779037, -37.21146107516302, -32.21146107516302, 78.81786346435544, 83.81786346435544]											
85	[10.84340716316646, 15.84340716316646, -95.57017442238133, -90.57017442238133, 95.50883483886719, 100.50883483886719]											
86	[5.768455798337996, 10.768455798337996, -88.72103336088522, -83.72103336088522, 88.27719879150388, 93.27719879150388]											
87	[2.9061437407793775, 7.9061437407793775, -73.16247122374207, -68.16247122374207, 69.42581176757812, 74.42581176757812]											
88	[22.573217742576546, 27.573217742576546, -31.923882724175634, -26.923882724175634, -74.233154296875, -69.233154296875]											
89	[10.075610671249137, 15.075610671249137, -28.605257512315255, -23.605257512315255, -65.72614288330078, -60.72614288330078]											
90	[11.959612144957475, 16.959612144957475, -49.18924330670169, -44.18924330670169, 71.75165557861328, 76.75165557861328]											
91	[15.552637599672494, 20.552637599672494, -42.49576937645983, -37.49576937645983, -63.42905807495117, -58.42905807495117]											
92	[]											
93	[13.794958173714036, 18.794958173714036, -42.151407186608814, -37.151407186608814, 89.972412109375, 94.972412109375]											
94	[-9.502780354098661, -4.502780354098661, -35.6588309035087, -30.6588309035087, 82.80783081054688, 87.80783081054688]											
95	[-4.419079363352836, 0.5809206366471642, -33.00295730603752, -28.002957306037523, 70.83970642089844, 75.83970642089844]											
96	[-4.419079363352836, 0.5809206366471642, -33.00295730603752, -28.002957306037523, 70.83970642089844, 75.83970642089844]											
97	[23.60103675850138, 28.60103675850138, -30.418779489827813, -25.418779489827813, -65.98651885986328, -60.98651885986328]											
98	[7.541733848452537, 12.541733848452537, -50.21621545554447, -45.21621545554447, 94.20926666259766, 99.20926666259766]											
99	[-4.465918815968223, 0.534081184031777, -17.468994933820525, -12.468994933820525, -96.46890258789062, -91.46890258789062]											
100	[3.7312486484350416, 8.731248648435042, -32.969293834644965, -27.969293834644965, 64.65373992919922, 69.65373992919922]											
101	[9.59799252692423, 14.59799252692423, -40.94828619985704, -35.94828619985704, 87.01899719238281, 92.01899719238281]											
